market,sample,variant,base_strategy_type,base_strategy_is_stable,base_strategy_members,switching_tc_bps,mean_exposure,risk_off_share,n_switches,total_switching_turnover,switching_tc_drag_arithmetic,missed_positive_return_sum,avoided_negative_return_sum,baseline_n_days,baseline_start,baseline_end,baseline_total_return,baseline_annualized_return,baseline_annualized_volatility,baseline_sharpe,baseline_sortino,baseline_max_drawdown,baseline_calmar,baseline_worst_day,baseline_q01_daily_return,baseline_expected_shortfall_1pct,protected_n_days,protected_start,protected_end,protected_total_return,protected_annualized_return,protected_annualized_volatility,protected_sharpe,protected_sortino,protected_max_drawdown,protected_calmar,protected_worst_day,protected_q01_daily_return,protected_expected_shortfall_1pct,delta_annualized_return,delta_sharpe,delta_sortino,delta_max_drawdown,delta_calmar,delta_expected_shortfall_1pct
crypto,retrospective_holdout,combo_and_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
crypto,retrospective_holdout,market_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
crypto,retrospective_holdout,no_protection,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
crypto,retrospective_holdout,portfolio_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,combo_and_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,market_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,no_protection,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,portfolio_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.8058823529411765,0.19411764705882353,4,2.0,0.004,0.24881821962702194,0.20214192819517948,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,-0.01124845335467961,-0.005573963001706539,0.06961507008204941,-0.04552990128331113,-0.05680891868937053,-0.11147095507406968,-0.05000372516771547,-0.023813199019572573,-0.014942341045327937,-0.019457875057848583,-0.02421102094259353,-0.3102233787191909,-0.4481515152956504,-0.008655140432006214,-0.23127017727694477,0.0003358057292642963
us,retrospective_holdout,combo_and_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,0.0,0.0,0.0,0.0,0.0,0.0
us,retrospective_holdout,market_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,1,0.5,0.00125,0.0,-0.0,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,502,2023-01-03,2024-12-31,-0.11604124468197774,-0.060040175079250524,0.09800682731913488,-0.5827014257543538,-0.8676322041229038,-0.1388095433982517,-0.4325363632022921,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,-0.0005960615095844668,-0.0060271903725277465,-0.008294279159220097,-1.1102230246251565e-16,-0.004294096032534944,0.0
us,retrospective_holdout,no_protection,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,0.0,0.0,0.0,0.0,0.0,0.0
us,retrospective_holdout,portfolio_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,0.0,0.0,0.0,0.0,0.0,0.0
crypto,validation,combo_and_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,0.9507692307692308,0.04923076923076923,4,2.0,0.002,0.18714319774276644,0.24122537933938465,975,2020-05-01,2022-12-31,0.6454431572334962,0.20494559572327598,0.25182102240593074,0.8668569834989537,1.1421419804826318,-0.2415858366131599,0.8483344826685587,-0.09511584221455847,-0.03528755837359912,-0.053098681883667787,975,2020-05-01,2022-12-31,0.7417149172791353,0.23086927037391414,0.24470316248096424,0.9717497785416378,1.2801436463335432,-0.2187054842479057,1.0556171975651996,-0.09511584221455847,-0.032046824276246194,-0.0504485641938625,0.025923674650638162,0.10489279504268412,0.13800166585091134,0.02288035236525421,0.20728271489664085,0.0026501176898052897
crypto,validation,market_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,0.9056410256410257,0.09435897435897436,4,2.0,0.002,0.47883987901191893,0.5615048528573453,975,2020-05-01,2022-12-31,0.6454431572334962,0.20494559572327598,0.25182102240593074,0.8668569834989537,1.1421419804826318,-0.2415858366131599,0.8483344826685587,-0.09511584221455847,-0.03528755837359912,-0.053098681883667787,975,2020-05-01,2022-12-31,0.8056920908797216,0.24760432241695773,0.2329171493379086,1.0668620556547899,1.3600333220775085,-0.21870548424790615,1.1321358642122312,-0.09511584221455847,-0.03040459759782598,-0.04797502407455108,0.04265872669368176,0.20000507215583618,0.21789134159487666,0.022880352365253764,0.2838013815436725,0.005123657809116708
crypto,validation,no_protection,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,975,2020-05-01,2022-12-31,0.6454431572334962,0.20494559572327598,0.25182102240593074,0.8668569834989537,1.1421419804826318,-0.2415858366131599,0.8483344826685587,-0.09511584221455847,-0.03528755837359912,-0.053098681883667787,975,2020-05-01,2022-12-31,0.6454431572334962,0.20494559572327598,0.25182102240593074,0.8668569834989537,1.1421419804826318,-0.2415858366131599,0.8483344826685587,-0.09511584221455847,-0.03528755837359912,-0.053098681883667787,0.0,0.0,0.0,0.0,0.0,0.0
crypto,validation,portfolio_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,0.9056410256410257,0.09435897435897436,14,7.0,0.006999999999999999,0.5805325139113406,0.5575726463835046,975,2020-05-01,2022-12-31,0.6454431572334962,0.20494559572327598,0.25182102240593074,0.8668569834989537,1.1421419804826318,-0.2415858366131599,0.8483344826685587,-0.09511584221455847,-0.03528755837359912,-0.053098681883667787,975,2020-05-01,2022-12-31,0.62338716157767,0.19887362025041533,0.22659639158450048,0.9138586238587767,1.2419451509575583,-0.21870548424790615,0.9093215971895288,-0.06178021359154917,-0.029992692831591214,-0.04364873302754293,-0.006071975472860647,0.047001640359823016,0.09980317047492648,0.022880352365253764,0.060987114520970054,0.009449948856124858
moex,validation,combo_and_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.9625724828676858,0.03742751713231418,8,4.0,0.008,0.08133732151846775,0.17305749172674936,1897,2015-07-01,2022-12-30,0.7947713618108727,0.08079396356777213,0.07568105189246849,1.0646372188484492,1.399279210485756,-0.14385284090671702,0.561643156009438,-0.05712950151895469,-0.011719689012909998,-0.017672818704999718,1897,2015-07-01,2022-12-30,0.9532801304235523,0.09301355207675344,0.07401561778842757,1.2388515555444533,1.6012854494862951,-0.09184135341126842,1.0127632991233901,-0.05712950151895469,-0.011635917944371648,-0.017402107654858508,0.012219588508981305,0.17421433669600406,0.20200623900053905,0.052011487495448594,0.4511201431139521,0.0002707110501412105
moex,validation,market_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.9072219293621507,0.09277807063784924,8,4.0,0.008,0.32761742367123053,0.33742767065952345,1897,2015-07-01,2022-12-30,0.7947713618108727,0.08079396356777213,0.07568105189246849,1.0646372188484492,1.399279210485756,-0.14385284090671702,0.561643156009438,-0.05712950151895469,-0.011719689012909998,-0.017672818704999718,1897,2015-07-01,2022-12-30,0.8027898644129994,0.08143417070422987,0.07087469881883071,1.1402283405475646,1.4158260230733632,-0.1039076944595585,0.783716462267619,-0.05712950151895469,-0.011076619107787991,-0.016940813875638318,0.0006402071364577377,0.07559112169911542,0.01654681258760715,0.03994514644715852,0.222073306258181,0.0007320048293614004
moex,validation,no_protection,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,1897,2015-07-01,2022-12-30,0.7947713618108727,0.08079396356777213,0.07568105189246849,1.0646372188484492,1.399279210485756,-0.14385284090671702,0.561643156009438,-0.05712950151895469,-0.011719689012909998,-0.017672818704999718,1897,2015-07-01,2022-12-30,0.7947713618108727,0.08079396356777213,0.07568105189246849,1.0646372188484492,1.399279210485756,-0.14385284090671702,0.561643156009438,-0.05712950151895469,-0.011719689012909998,-0.017672818704999718,0.0,0.0,0.0,0.0,0.0,0.0
moex,validation,portfolio_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.9030047443331576,0.09699525566684239,12,6.0,0.012,0.4072878242971472,0.4744018522471847,1897,2015-07-01,2022-12-30,0.7947713618108727,0.08079396356777213,0.07568105189246849,1.0646372188484492,1.399279210485756,-0.14385284090671702,0.561643156009438,-0.05712950151895469,-0.011719689012909998,-0.017672818704999718,1897,2015-07-01,2022-12-30,0.9075916238330513,0.08958233618157219,0.06464644652176539,1.3596151068229263,1.9042655467078444,-0.0766243189095549,1.169111027105018,-0.02827004497656935,-0.0103281627869548,-0.013651493674209323,0.008788372613800055,0.2949778879744771,0.5049863362220883,0.06722852199716212,0.60746787109558,0.0040213250307903955
us,validation,combo_and_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.9666870415647921,0.033312958435207825,12,6.0,0.015000000000000001,0.7588255418256932,0.8142045002373021,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,-0.05513070775561397,-0.022043760158756885,-0.031570392812880474,3272,2010-01-04,2022-12-30,0.7397514004620351,0.04357010615028023,0.09741795469723281,0.486658321122728,0.5974992678685984,-0.18885008136343107,0.23071266814247265,-0.05513070775561397,-0.018602249573347225,-0.0263969631390743,0.00468069205860111,0.08632172434902435,0.11655743876251706,0.04083560347166315,0.06139687417124509,0.005173429673806174
us,validation,market_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.9018948655256723,0.09810513447432763,17,8.5,0.02125,1.3721829123728835,1.4453331788598236,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,-0.05513070775561397,-0.022043760158756885,-0.031570392812880474,3272,2010-01-04,2022-12-30,0.7731280053799201,0.04509854723451601,0.09134056008144026,0.5287530112045054,0.6326314496062351,-0.18885008136343073,0.23880607786303537,-0.05513070775561397,-0.017845349691696013,-0.024589038245120556,0.006209133142836887,0.1284164144308017,0.15168962050015372,0.040835603471663484,0.06949028389180781,0.006981354567759918
us,validation,no_protection,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,-0.05513070775561397,-0.022043760158756885,-0.031570392812880474,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,-0.05513070775561397,-0.022043760158756885,-0.031570392812880474,0.0,0.0,0.0,0.0,0.0,0.0
us,validation,portfolio_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.9018948655256723,0.09810513447432763,10,5.0,0.0125,1.7409620075621608,1.7061269936971217,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,-0.05513070775561397,-0.022043760158756885,-0.031570392812880474,3272,2010-01-04,2022-12-30,0.6160056886681198,0.03765664038916117,0.08572844453248242,0.47421578006504367,0.5612495933489499,-0.15484777171047903,0.24318490329695086,-0.05513070775561397,-0.015367569488209136,-0.02338948927446525,-0.001232773702517953,0.07387918329134002,0.0803077642428685,0.07483791312461519,0.0738691093257233,0.008180903538415225
